Schools,Resident,NonResident
Academy College,18091,
Alexandria Technical and Community College,5452,5452
Anoka Technical College,5733,5733
Anoka-Ramsey Community College,5207,5073
Augsburg University,34293,
Avalon School of Cosmetology,6705,
Aveda Institute Minneapolis,12258,
Bemidji State University-Graduate,11455,10372
Bemidji State University-Undergraduate,8941,8941
Bethany Lutheran College,28080,
Bethel University,38460,
Carleton College,57111,
Central Lakes College,5675,5675
Century College,5578,5578
College of St. Benedict,46820,
College of St. Scholastica,30635,
Concordia College Moorhead,41566,
Concordia University St Paul,22800,
Crown College,26970,
Dakota County Technical College,5863,
Dunwoody College of Technology,23218,
Empire Beauty School Bllomington,11421,
Empire Beauty School Spring Lake Park,11025,
Fond Du Lac & Tribal & Community College,5460,5460
Gustavus Adolphus College,47240,
Hamline University,42774,
Hastings Beauty School,9117,
Hennepin Technical College,5385,5385
Herzing University,18785,
Hibbing Community College,5451,6669
Inver Hills Community College,5484,5484
Itasca Community College,5465,6669
Lake Superior College,5171,5171
Leech Lake Tribal College,5020,
Macalester College,56292,
Martin Luther College,15870,
Mesabi Range College,5466,6669
Metropolitan State University Graduate,10781,20480
Metropolitan State University Undergraduate,8114,15428
Minneapolis College of Art & Design,40271,
Minneapolis Community & Technical College,5556,5556
Minnesota School of Barbering,6840,
Minnesota School of Beauty,9441,
Minnesota State Community & Technical College,5441,5441
Minnesota State University Mankato Graduate,11303,11303
Minnesota State University Mankato Undergraduate,8438,16731
Minnesota State University Moorhead Graduate,11029,11029
Minnesota State University Moorhead Undergraduate,8954,16584
Minnesota West Community & Technical College,5846,11147
Model College of Hair Design,10660,
Normandale Community College,5964,5964
North Central University ,25090,
North Hennepin Community College,5708,5708
Northland Community & Technical College,5549,5549
Northwest Technical College Bemidji,5488,5448
Northwestern Health Sciences University,12630,
Nova Academy of Cosmetology,10474,
Oak Hills Christian College,17314,
Pine Technical College,5234,5234
Rainy River Community College,5466,6669
Rasmussen College Minnesota,14889,
Red Lake Nation College,5770,
Ridgewater College,5587,5587
Riverland Community and Technical College,5723,5723
Rochester Community & Technical College,5808,5808
Saint Paul College,5736,5736
South Central College,5636,5636
Southwest Minnesota State University Graduate,11104,9948
Southwest Minnesota State University Undergraduate,8878,8878
St Catherine University Day School,34234,
St Cloud State University Graduate,11209,16374
St Cloud State University Undergraduate,8656,16949
St Cloud Technical and Community College,5538,5538
St John's University,46546,
St Mary's University of MN,30325,
St Olaf College,49710,
Summit Academy OIC,6750,
Takoda Institute of Higher Education,8625,
University of Minnesota Crookston,12020,12020
University of Minnesota Duluth,13587,18787
University of Minnesota Duluth Graduate,18997,29005
University of Minnesota Morris,13578,15632
University of Minnesota Twin Cities,15142,33440
University of Minnesota Twin Cities Graduate,19381,29005
University of Northwestern St Paul,32210,
University of St Thomas,40880,
Vermilion Community College,5465,6669
White Earth Tribal and Community College,5275,
Winona State University Graduate,10975,16052
Winona State University Undergraduate,9665,15764
