Academic Year,University of Minnesota Twin-Cities,Minnesota State 4-year universities,Minnesota 2-year Colleges,Private 4-year colleges
1970-1971,522.00,379.00,353.00,1671.00
1971-1972,525.00,416.00,386.00,1795.00
1972-1973,641.00,453.00,386.00,1933.00
1973-1974,683.00,458.00,420.00,2029.00
1974-1975,714.00,458.00,420.00,2203.00
1975-1976,752.00,519.00,461.00,2382.00
1976-1977,819.00,545.00,495.00,2576.00
1977-1978,927.00,596.00,518.00,2882.00
1978-1979,994.00,608.00,540.00,2999.00
1979-1980,1060.00,648.00,574.00,3284.00
1980-1981,1250.00,714.00,638.00,3674.00
1981-1982,1406.00,776.00,675.00,4193.00
1982-1983,1608.00,974.00,821.00,4799.00
1983-1984,1792.00,1216.00,1013.00,5295.00
1984-1985,1992.00,1402.00,1103.00,5841.00
1985-1986,2109.00,1519.00,1170.00,6385.00
1986-1987,2205.00,1626.00,1193.00,6922.00
1987-1988,2331.00,1653.00,1238.00,7453.00
1988-1989,2459.00,1695.00,1305.00,8189.00
1989-1990,2527.00,1790.00,1373.00,9230.00
1990-1991,2728.00,1889.00,1474.00,10044.00
1991-1992,2923.00,2041.00,1598.00,10774.00
1992-1993,3326.00,2276.00,1688.00,11467.00
1993-1994,3421.00,2521.00,1950.00,11890.00
1994-1995,3583.00,2641.00,1954.00,12412.00
1995-1996,4113.00,2721.00,2066.00,13031.00
1996-1997,4410.00,2730.00,2079.00,13663.00
1997-1998,4503.00,2810.00,2126.00,14450.00
1998-1999,4621.00,2944.00,2233.00,15381.00
1999-2000,4650.00,3064.00,2343.00,15883.00
2000-2001,4877.00,3258.00,2480.00,16624.00
2001-2002,5536.00,3604.00,2757.00,17569.00
2002-2003,6430.00,4088.00,3026.00,19014.00
2003-2004,7344.00,4636.00,3382.00,20043.00
2004-2005,8263.00,5242.00,3769.00,21467.00
2005-2006,8855.00,5521.00,3984.00,22782.00
2006-2007,9410.00,5895.00,4255.00,24400.00
2007-2008,10084.00,6175.00,4432.00,25237.00
2008-2009,10756.00,6373.00,4548.00,27829.00
2009-2010,11466.00,6639.00,4708.00,29023.00
2010-2011,12288.00,6895.00,4919.00,30411.00
2011-2012,13062.00,7323.00,5173.00,31862.00
2012-2013,13526.00,7658.00,5358.00,33373.00
2013-2014,13620.00,7681.00,5373.00,34000.00
2014-2015,13626.00,7704.00,5370.00,35177.00
2015-2016,13840.00,8139.00,5391.00,35726.00
2016-2017,14224.00,8179.00,5358.00,37075.00
2017-2018,14488.00,8484.00,5413.00,38087.00
2018-2019,14760.00,8521.00,5419.00,39567.00
2019-2020,15142.00,8807.00,5557.00,42533.00
