Year,CPI,Factor Used to Convert to 2023 Dollars
1962,30.2,10.127
1963,30.6,9.994
1964,31.0,9.865
1965,31.5,9.709
1966,32.4,9.439
1967,33.4,9.156
1968,34.8,8.788
1969,36.7,8.333
1970,38.8,7.882
1971,40.5,7.551
1972,41.8,7.316
1973,44.4,6.888
1974,49.3,6.203
1975,53.8,5.684
1976,56.9,5.375
1977,60.6,5.047
1978,65.2,4.691
1979,72.6,4.212
1980,82.4,3.711
1981,90.9,3.364
1982,96.5,3.169
1983,99.6,3.071
1984,103.9,2.943
1985,107.6,2.842
1986,109.6,2.790
1987,113.6,2.692
1988,118.3,2.585
1989,124.0,2.466
1990,130.7,2.340
1991,136.2,2.245
1992,140.3,2.180
1993,144.5,2.116
1994,148.2,2.064
1995,152.4,2.007
1996,156.9,1.949
1997,160.5,1.905
1998,163.0,1.876
1999,166.6,1.836
2000,172.2,1.776
2001,177.1,1.727
2002,179.9,1.700
2003,184.0,1.662
2004,188.9,1.619
2005,195.3,1.566
2006,201.6,1.517
2007,207.3,1.475
2008,215.3,1.420
2009,214.5,1.426
2010,218.1,1.403
2011,224.9,1.360
2012,229.6,1.332
2013,233.0,1.313
2014,236.7,1.292
2015,237.0,1.290
2016,240.0,1.274
2017,245.1,1.248
2018,251.1,1.218
2019,255.7,1.196
2020,258.8,1.182
2021,271.0,1.129
2022,292.7,1.045
2023,305.8,1.000
