,National,Middle States,Midwest,New England,South,Southwest,West
90-91,"$1,910 ","$2,080 ","$2,130 ","$2,550 ","$1,800 ","$1,180 ","$1,400 "
91-92,"$2,110 ","$2,770 ","$2,300 ","$3,390 ","$1,880 ","$1,270 ","$1,690 "
92-93,"$2,330 ","$3,090 ","$2,620 ","$3,630 ","$2,010 ","$1,410 ","$1,970 "
93-94,"$2,540 ","$3,360 ","$2,770 ","$3,950 ","$2,180 ","$1,550 ","$2,240 "
94-95,"$2,710 ","$3,520 ","$2,920 ","$4,090 ","$2,260 ","$1,730 ","$2,490 "
95-96,"$2,810 ","$3,730 ","$3,100 ","$4,240 ","$2,320 ","$1,870 ","$2,560 "
96-97,"$2,980 ","$3,910 ","$3,260 ","$4,320 ","$2,430 ","$2,160 ","$2,590 "
97-98,"$3,110 ","$4,060 ","$3,470 ","$4,530 ","$2,540 ","$2,320 ","$2,680 "
98-99,"$3,250 ","$4,200 ","$3,650 ","$4,640 ","$2,680 ","$2,530 ","$2,660 "
99-00,"$3,360 ","$4,510 ","$3,810 ","$4,680 ","$2,730 ","$2,720 ","$2,680 "
00-01,"$3,510 ","$4,690 ","$3,990 ","$4,750 ","$2,910 ","$2,930 ","$2,750 "
01-02,"$3,770 ","$4,780 ","$4,220 ","$4,890 ","$3,190 ","$3,210 ","$2,930 "
02-03,"$4,100 ","$5,590 ","$4,890 ","$5,350 ","$3,380 ","$3,400 ","$3,030 "
03-04,"$4,650 ","$5,930 ","$5,450 ","$6,240 ","$3,810 ","$3,930 ","$3,700 "
04-05,"$5,130 ","$6,290 ","$6,070 ","$6,880 ","$4,130 ","$4,690 ","$4,120 "
05-06,"$5,490 ","$6,600 ","$6,570 ","$7,260 ","$4,430 ","$5,040 ","$4,470 "
06-07,"$5,800 ","$6,860 ","$6,930 ","$7,670 ","$4,730 ","$5,540 ","$4,650 "
07-08,"$6,190 ","$7,250 ","$7,380 ","$8,120 ","$5,020 ","$5,980 ","$5,030 "
08-09,"$6,600 ","$7,570 ","$7,790 ","$8,630 ","$5,430 ","$6,450 ","$5,470 "
09-10,"$7,070 ","$8,000 ","$8,120 ","$9,380 ","$5,780 ","$6,710 ","$6,310 "
10-11,"$7,630 ","$8,410 ","$8,530 ","$9,840 ","$6,470 ","$7,100 ","$7,140 "
11-12,"$8,280 ","$8,910 ","$9,010 ","$10,500 ","$7,140 ","$7,430 ","$8,260 "
12-13,"$8,650 ","$9,210 ","$9,370 ","$11,030 ","$7,640 ","$7,730 ","$8,560 "
13-14,"$8,890 ","$9,430 ","$9,570 ","$11,220 ","$8,040 ","$7,950 ","$8,730 "
14-15,"$9,150 ","$9,790 ","$9,740 ","$11,460 ","$8,370 ","$8,280 ","$8,910 "
15-16,"$9,430 ","$10,090 ","$9,940 ","$11,970 ","$8,730 ","$8,620 ","$9,050 "
16-17,"$9,670 ","$10,410 ","$10,210 ","$12,510 ","$8,960 ","$9,010 ","$9,090 "
17-18,"$9,980 ","$10,730 ","$10,430 ","$12,960 ","$9,280 ","$9,370 ","$9,530 "
18-19,"$10,210 ","$11,020 ","$10,670 ","$13,420 ","$9,440 ","$9,600 ","$9,740 "
19-20,"$10,440 ","$11,280 ","$10,970 ","$13,960 ","$9,590 ","$9,980 ","$9,880 "
20-21,"$10,570 ","$11,330 ","$11,170 ","$14,310 ","$9,650 ","$10,300 ","$10,030 "
21-22,"$10,750 ","$11,570 ","$11,430 ","$14,520 ","$9,760 ","$10,530 ","$10,120 "
22-23,"$10,990 ","$11,840 ","$11,790 ","$15,000 ","$9,820 ","$10,660 ","$10,510 "
23-24,"$11,260 ","$12,110 ","$12,230 ","$15,330 ","$9,970 ","$10,760 ","$10,820 "
